Date,Demand
2011-12-10,23023.997087583713
2011-12-11,9547.359195051959
2011-12-12,15776.931505652348
2011-12-13,19600.077947161888
2011-12-14,15223.502270175584
2011-12-15,18436.42123612976
2011-12-16,10556.447045106197
2011-12-17,16254.356466231044
2011-12-18,2543.2116403836735
2011-12-19,8667.819411049644
2011-12-20,12520.723657051447
2011-12-21,8310.55633004279
2011-12-22,11825.131210406613
2011-12-23,4377.332975884685
2011-12-24,10629.979234683718
2011-12-25,-2414.88162211113
2011-12-26,4473.745736155466
2011-12-27,9172.126005413527
2011-12-28,5870.539166229242
2011-12-29,10336.823693269862
2011-12-30,3862.7579622753074
2011-12-31,11089.444669160013
2012-01-01,-1002.8525320729805
2012-01-02,6795.548227466095
2012-01-03,12340.598723539159
2012-01-04,9803.770165696049
2012-01-05,14936.061220158601
2012-01-06,9014.793349460107
2012-01-07,16669.347563217503
2012-01-08,4871.282725235969
